prcp,Average_Delay
0.0,5.09
0.1,4.12
0.15,-4.0
0.2,8.73
0.3,8.73
0.35,14.48
0.4,5.48
0.45,39.78
0.5,10.38
0.55,3.56
0.6,4.35
0.7,13.05
0.7999999999999999,-5.0
0.8,9.03
0.85,30.0
0.9,4.18
1.0,9.55
1.1,5.28
1.15,-8.0
1.2,8.36
1.3,12.17
1.35,64.67
1.4,8.08
1.5,13.35
1.55,-17.0
1.6,8.71
1.7,11.37
1.8,12.06
1.9,7.2
2.0,12.07
2.05,-14.0
2.1,18.69
2.15,0.67
2.2,7.52
2.3,9.86
2.4,5.19
2.45,62.0
2.5,10.7
2.6,10.36
2.7,16.87
2.75,21.2
2.8,15.43
2.9,8.32
2.95,-6.0
3.0,18.14
3.1,16.73
3.2,-1.09
3.3,14.43
3.35,-15.0
3.4,8.43
3.5,11.65
3.6,11.07
3.7,2.74
3.8,16.62
3.9,11.28
4.0,7.47
4.1,12.62
4.15,1.0
4.2,6.72
4.3,9.25
4.35,10.67
4.4,12.83
4.5,9.42
4.6,18.93
4.7,3.82
4.8,10.44
4.9,4.98
5.0,21.74
5.1,14.28
5.2,3.29
5.3,14.05
5.4,3.96
5.5,7.75
5.6,15.39
5.7,16.74
5.8,15.28
5.9,27.14
5.95,15.55
6.0,4.54
6.1,14.34
6.2,11.75
6.25,30.0
6.3,6.64
6.4,19.21
6.45,-3.33
6.5,1.38
6.6,9.94
6.7,18.71
6.8,20.16
6.85,52.0
6.9,13.12
7.0,15.71
7.1,17.67
7.15,-3.0
7.2,13.94
7.3,27.78
7.4,17.01
7.5,13.04
7.6,15.9
7.7,8.56
7.8,24.06
7.9,13.31
8.0,28.4
8.1,19.46
8.2,11.86
8.3,4.97
8.4,18.61
8.5,13.77
8.6,13.01
8.7,8.98
8.8,-0.36
8.9,18.26
9.0,20.53
9.1,18.28
9.2,18.0
9.3,20.62
9.4,22.91
9.5,28.06
9.6,6.59
9.7,21.89
9.8,33.21
9.9,25.99
10.0,25.26
10.1,16.8
10.2,13.88
10.3,-6.06
10.350000000000001,6.9
10.4,10.97
10.5,23.58
10.6,8.37
10.7,18.63
10.8,15.39
10.9,12.48
11.0,19.82
11.1,18.14
11.2,24.58
11.3,7.92
11.4,15.79
11.5,14.47
11.6,6.76
11.7,22.37
11.8,2.0
11.9,16.03
12.0,12.81
12.1,22.13
12.2,19.03
12.3,10.75
12.4,15.18
12.5,33.49
12.6,36.17
12.7,21.35
12.8,37.52
12.9,78.87
13.0,20.56
13.1,8.34
13.2,16.47
13.3,20.6
13.4,36.5
13.5,34.63
13.6,11.03
13.7,14.23
13.8,1.05
13.9,10.0
14.0,21.22
14.1,2.21
14.2,16.46
14.3,76.53
14.4,48.99
14.5,15.14
14.6,12.0
14.7,8.38
14.8,23.59
14.9,2.39
15.0,15.41
15.1,44.98
15.2,21.08
15.3,20.7
15.4,52.48
15.5,22.85
15.6,43.51
15.7,21.16
15.8,15.15
15.9,17.63
16.0,11.24
16.1,13.65
16.2,17.22
16.3,24.18
16.4,11.16
16.5,24.95
16.6,8.78
16.7,5.74
16.8,14.95
16.9,28.25
17.0,15.69
17.1,8.76
17.2,7.94
17.3,17.86
17.4,0.96
17.5,22.49
17.6,9.27
17.7,24.64
17.8,23.86
17.9,28.81
18.0,33.94
18.1,75.45
18.2,70.39
18.3,13.55
18.4,24.79
18.5,17.32
18.6,9.25
18.7,15.67
18.8,20.28
18.9,13.37
19.0,19.01
19.1,11.94
19.2,18.19
19.3,14.17
19.4,7.45
19.5,21.95
19.6,21.63
19.7,19.43
19.8,19.75
19.9,75.82
20.0,17.76
20.1,29.68
20.2,18.2
20.3,37.61
20.4,15.48
20.5,9.76
20.6,22.83
20.7,-5.48
20.8,26.32
20.9,18.71
21.0,-2.09
21.1,32.13
21.2,39.04
21.3,20.38
21.4,5.88
21.5,17.69
21.6,16.04
21.7,-0.5
21.8,17.29
21.9,7.22
22.0,-8.71
22.1,14.83
22.2,4.9
22.3,37.1
22.4,26.3
22.5,29.7
22.6,23.34
22.7,16.4
22.8,21.57
22.9,14.04
23.0,11.28
23.1,21.76
23.2,13.66
23.3,4.37
23.4,24.77
23.5,2.61
23.6,24.14
23.7,26.58
23.8,18.11
23.9,29.91
24.0,8.58
24.1,28.03
24.2,26.33
24.3,3.81
24.4,32.63
24.5,3.81
24.6,17.99
24.7,5.36
24.8,-16.0
24.9,20.66
25.0,16.21
25.1,8.26
25.2,8.47
25.3,34.28
25.4,34.17
25.5,-1.92
25.6,9.79
25.7,16.49
25.8,14.44
25.9,12.02
26.0,2.17
26.1,4.3
26.2,18.07
26.3,-4.8
26.4,22.59
26.5,17.02
26.6,30.25
26.7,17.82
26.8,41.0
26.9,17.97
27.0,9.16
27.1,8.71
27.2,22.16
27.3,140.62
27.4,20.5
27.5,5.57
27.6,-3.64
27.7,16.05
27.8,2.67
27.9,12.31
28.0,39.2
28.1,44.41
28.2,25.5
28.3,-4.31
28.4,32.82
28.5,-6.83
28.6,18.54
28.7,29.93
28.8,90.7
28.9,-3.0
29.0,21.37
29.2,19.17
29.3,6.0
29.4,-0.5
29.5,53.03
29.6,23.71
29.7,13.48
29.8,29.36
29.9,12.22
30.0,15.88
30.1,73.75
30.2,19.27
30.3,29.28
30.4,-7.4
30.5,24.57
30.6,10.9
30.7,38.28
30.8,22.13
30.9,5.5
31.0,33.8
31.1,49.52
31.2,2.95
31.3,16.78
31.4,16.11
31.5,8.58
31.6,-1.82
31.7,-18.5
31.8,16.27
31.9,37.49
32.0,16.19
32.1,2.29
32.2,5.54
32.3,25.14
32.4,6.0
32.5,31.27
32.6,33.25
32.7,1.55
32.8,45.51
32.9,33.8
33.0,28.84
33.1,32.33
33.2,121.0
33.3,8.1
33.4,32.95
33.5,14.23
33.6,34.29
33.7,23.67
33.8,18.14
33.9,45.08
34.0,26.22
34.1,-5.25
34.2,-4.72
34.3,40.3
34.4,-12.0
34.5,11.81
34.6,10.86
34.8,30.19
34.9,22.53
35.0,-17.5
35.1,34.91
35.2,-9.0
35.3,55.36
35.4,-12.0
35.5,50.0
35.6,13.8
35.7,26.72
35.8,41.3
35.9,49.5
36.1,32.21
36.2,-3.75
36.3,30.02
36.5,21.6
36.6,9.04
36.7,11.29
36.8,5.55
36.9,-0.67
37.0,33.43
37.1,14.22
37.2,23.6
37.3,22.72
37.4,-19.0
37.5,111.83
37.6,39.69
37.8,9.41
38.0,59.43
38.1,51.57
38.2,-14.56
38.3,-5.44
38.4,26.78
38.5,-7.63
38.6,23.46
38.7,10.07
38.8,10.22
38.9,22.97
39.1,13.63
39.3,21.71
39.4,6.76
39.5,18.12
39.6,-1.1
39.7,55.0
39.8,10.0
39.9,17.1
40.1,7.7
40.2,58.0
40.3,-1.62
40.4,37.3
40.5,1.98
40.6,21.55
40.7,15.75
40.8,12.88
40.9,17.52
41.0,0.0
41.1,19.3
41.3,37.5
41.4,6.74
41.5,27.43
41.6,-14.5
41.7,10.4
41.8,2.64
41.9,28.33
42.1,16.75
42.2,11.87
42.3,71.06
42.4,49.89
42.5,-7.25
42.6,33.0
42.7,34.09
42.9,69.85
43.0,6.33
43.1,14.26
43.2,22.77
43.4,36.33
43.6,-7.71
43.7,3.87
43.8,5.0
43.9,9.15
44.0,56.19
44.1,-12.5
44.2,27.43
44.5,24.81
44.6,38.33
44.7,27.37
44.9,-0.54
45.0,39.02
45.2,17.2
45.3,-20.0
45.4,9.67
45.5,111.1
45.6,-13.0
45.7,27.36
45.8,-4.67
46.0,27.91
46.1,22.88
46.2,16.84
46.5,27.28
46.6,-14.6
46.7,9.61
46.8,-19.0
46.9,-1.0
47.0,38.65
47.2,-2.65
47.3,84.77
47.5,15.75
47.6,-4.93
47.8,29.32
47.9,-19.5
48.0,29.74
48.2,19.0
48.3,11.74
48.5,3.12
48.6,21.73
48.8,14.99
49.0,33.6
49.4,15.63
49.5,35.92
49.8,73.38
49.9,9.19
50.0,21.21
50.3,32.47
50.4,42.23
50.5,-6.5
50.8,29.22
50.9,55.4
51.0,93.82
51.1,7.29
51.3,9.87
51.5,-9.2
51.6,24.87
51.7,-15.91
51.8,29.21
51.9,-3.0
52.0,22.78
52.1,24.62
52.3,3.29
52.4,20.5
52.6,51.64
52.7,-6.06
52.8,34.11
53.1,49.56
53.3,4.64
53.5,1.71
53.7,20.5
53.8,26.87
54.1,2.62
54.4,11.97
54.5,31.2
54.6,31.17
54.7,6.0
54.8,4.59
54.9,-3.45
55.1,27.93
55.4,76.05
55.5,-22.0
55.6,1.15
55.7,13.31
55.9,18.24
56.1,4.26
56.4,-0.5
56.6,3.5
56.9,43.92
57.0,33.33
57.1,48.83
57.2,-7.5
57.4,67.0
57.7,1.22
57.9,-4.74
58.0,3.0
58.2,8.42
58.4,16.19
58.5,22.27
58.7,39.5
58.9,43.62
59.2,34.14
59.4,19.81
59.5,-0.5
59.7,11.8
59.9,-4.6
60.1,-2.17
60.2,10.0
60.5,16.48
60.6,63.11
60.7,0.34
60.8,21.5
61.0,38.24
61.2,3.94
61.4,3.94
61.5,35.0
61.6,-17.25
61.7,-5.5
62.0,47.39
62.2,27.06
62.5,0.0
62.6,44.8
62.7,31.25
63.2,31.0
63.5,4.39
63.8,16.33
64.0,-22.0
64.3,12.56
64.4,4.83
64.5,-9.0
64.8,21.5
65.0,15.19
65.3,10.11
65.8,26.61
65.9,-31.0
66.0,-7.67
66.5,32.22
67.3,-17.0
67.6,-18.0
67.8,21.75
67.9,19.5
68.0,9.55
68.1,13.0
68.2,-1.13
68.3,14.0
68.5,72.0
68.6,16.67
68.8,-13.71
69.1,-16.0
69.3,9.44
69.6,26.57
69.9,8.92
70.1,18.51
70.4,-2.8
70.5,4.0
70.6,-0.2
70.8,4.0
70.9,35.06
71.1,65.75
71.3,1.56
71.5,-14.0
72.1,-2.0
72.4,-12.11
72.5,15.25
72.6,-10.43
73.5,2.56
73.9,11.5
74.0,8.0
74.2,33.51
74.3,-6.78
74.9,-4.0
75.4,1.0
75.8,4.75
76.2,55.43
76.7,-11.5
77.2,67.53
77.5,-22.33
77.7,-9.0
77.9,32.5
78.0,47.29
78.2,-12.0
78.5,-8.0
78.7,-9.5
79.0,-1.38
79.5,23.42
80.3,-14.5
80.8,93.8
81.3,39.5
81.5,-28.0
81.7,148.0
82.0,23.0
82.6,-14.92
82.8,-3.67
83.3,8.83
83.6,1.0
83.8,1.07
84.3,26.1
85.1,29.45
86.9,75.7
87.0,-7.33
87.1,13.83
87.3,58.57
87.9,18.0
88.1,72.85
88.4,36.76
88.6,18.33
88.7,7.5
88.8,-5.0
90.4,53.5
90.7,34.0
91.4,17.0
91.7,-6.5
93.5,16.43
94.8,10.5
95.8,6.0
97.5,35.6
98.6,11.0
98.8,18.0
100.1,2.0
100.6,-10.0
100.8,14.95
101.1,91.0
101.9,21.0
102.9,95.94
103.4,9.33
104.7,-11.0
104.9,43.28
105.4,-6.5
107.2,-4.0
107.3,46.0
107.7,-14.0
111.8,33.91
112.3,-19.67
113.0,69.53
113.3,-8.25
115.1,118.91
115.3,-22.0
117.1,12.29
118.1,-13.5
120.5,78.86
126.0,13.0
126.2,121.41
129.2,11.56
134.3,11.0
143.5,31.0
147.9,139.06
157.2,71.59
158.5,16.33
161.8,-2.0
169.9,40.41
177.8,-31.0
191.3,30.71
204.5,40.06
571.5,-11.58
